;137
159;20.39
227;1.68
;138
212;2.07
238;13.5
;139
136;8.5
353;2
;140
145;3.4
151;3.21
212;3.65
;141
17;2
134;8.96
;142
74;2
135;4.81
;143
136;7.71
149;4.98
154;18.63
;144
103;8.03
185;6.63
;145
109;2.67
140;3.4
;146
134;10.49
152;9.23
157;5.45
218;6.15
;148
78;2
153;3.88
;149
64;2
143;4.98
;150
103;8.32
189;6.54
;151
140;3.21
399;1
;152
146;9.23
360;2
;153
148;3.88
163;4.25
;154
143;18.63
158;2.91
164;4.34
;155
43;1
220;1.72
271;1
;156
161;3.34
167;4.09
201;16.67
;157
146;5.45
162;5.91
168;10.93
;158
154;2.91
230;3.59
;159
137;20.39
165;8.92
249;8.67
;160
60;1
239;2.35
300;1
;161
156;3.34
236;3.2
;162
157;5.91
28;2
;163
153;4.25
378;2
;164
154;4.34
170;3.08
175;28.5
;165
159;8.92
171;2.44
176;5.04
;166
123;8.12
218;8.58
;167
156;4.09
173;3.52
178;19.89
;168
157;10.93
174;3.08
179;10.76
;169
50;2
180;7.65
;170
164;3.08
229;3.71
;171
165;2.44
337;2
;172
246;4.29
279;2
;173
167;3.52
235;3.27
;174
168;3.08
233;3
;175
164;28.5
181;4.52
;176
165;5.04
182;3.36
206;13.27
;177
246;2.79
;178
167;19.89
183;5.43
187;7.42
;179
184;2.99
188;15.56
;180
136;11.91
169;7.65
185;6.51
;181
175;4.52
186;7.15
190;14.65
391;2
425;2
;182
12;2
176;3.36
;183
1;2
178;5.43
;184
179;2.99
234;8.66
;185
144;6.63
180;6.51
189;16.28
240;11.92
;186
181;7.15
;187
178;7.42
192;9.23
197;6.06
245;10.58
;188
179;15.56
193;2.81
198;5.97
;189
150;6.54
185;16.28
194;6.06
215;11.79
;190
181;14.65
195;6.42
;191
196;2.62
200;14.97
206;20.17
;192
187;9.23
411;2
;193
188;2.81
234;9.18
;194
189;6.06
204;8.01
210;11.97
;195
190;6.42
199;1.99
;196
191;2.62
228;4.43
;197
187;6.06
202;8.76
208;10.49
239;8.41
;198
188;5.97
203;20.18
224;11.04
;199
195;1.99
;200
191;14.97
206;13.28
249;4.41
;201
156;16.67
207;21.04
212;12.16
;202
123;8.6
197;8.76
;203
198;20.18
209;4.86
;204
72;2
194;8.01
;205
109;1.67
224;2.41
;206
176;13.27
191;20.17
200;13.28
;207
201;21.04
225;5.61
;208
129;7.17
197;10.49
213;16.37
245;6.15
;209
203;4.86
214;5.24
219;1.96
;210
126;7.47
194;11.97
215;5.88
237;9.68
;211
119;7.64
213;7.52
;212
138;2.07
140;3.65
201;12.16
217;5.78
;213
134;6.33
208;16.37
211;7.52
218;10.58
;214
209;5.24
222;1.97
;215
189;11.79
210;5.88
220;5.25
247;8.52
;216
221;27.93
227;4.17
;217
128;4.48
133;2.38
212;5.78
;218
146;6.15
166;8.58
213;10.58
239;8.14
;219
76;2
209;1.96
;220
155;1.72
215;5.25
240;11.4
;221
216;27.93
241;3.08
243;4.07
;222
214;1.97
400;2
;223
69;1
249;2.3
438;1
;224
198;11.04
205;2.41
246;5.17
251;3.02
;225
125;4.86
207;5.61
226;2.07
;226
225;2.07
;227
127;10.95
137;1.68
216;4.17
;228
196;4.43
320;14.55
439;14.48
;229
170;3.71
;230
158;3.59
;231
241;4.01
;232
248;3.89
;233
174;3
;234
184;8.66
193;9.18
;235
173;3.27
;236
161;3.2
;237
210;9.68
365;2
;238
138;13.5
251;11.22
;239
160;2.35
197;8.41
218;8.14
;240
136;6.38
185;11.92
220;11.4
242;8.49
;241
221;3.08
231;4.01
;242
112;8.32
240;8.49
;243
126;19.1
221;4.07
248;2.99
;244
125;2.35
;245
187;10.58
208;6.15
250;9.16
;246
172;4.29
177;2.79
224;5.17
;247
112;8.18
215;8.52
;248
232;3.89
243;2.99
;249
159;8.67
200;4.41
223;2.3
;250
94;2
245;9.16
;251
224;3.02
238;11.22
;252
424;9.47
433;2.43
;253
261;5.41
279;2.33
435;5.13
;254
260;2.43
268;10.91
428;15.9
;255
362;5.37
414;18.04
429;6.23
;256
351;12.05
420;12.72
;257
264;5.92
438;2.19
;258
346;2.83
440;3.07
;259
262;4.01
270;19.43
429;15.98
;260
254;2.43
283;3.66
;261
253;5.41
269;1.87
;262
259;4.01
329;2.86
;263
274;2.97
466;8.41
474;8.91
;264
257;5.92
275;2.23
284;12.32
;265
274;2.78
285;4.06
347;8.44
;266
276;2.5
286;3.35
440;11.62
;267
328;2.78
430;2.85
;268
254;10.91
278;2.35
288;8.65
;269
261;1.87
512;2
;270
259;19.43
280;3.75
290;3.6
;271
155;1
281;1.2
497;1
;272
294;10.07
313;10.69
;273
434;2.55
;274
263;2.97
265;2.78
;275
109;2.4
